"Time (s)","Illuminance (lx)"
5.560007349E1,6.900000000E1
5.578005249E1,6.400000000E1
5.596002849E1,6.500000000E1
5.614001749E1,6.700000000E1
5.631999349E1,6.900000000E1
5.649997249E1,7.700000000E1
5.667994849E1,7.800000000E1
5.685992749E1,7.900000000E1
5.703990349E1,8.000000000E1
5.721989149E1,8.100000000E1
5.739986749E1,7.800000000E1
5.757984649E1,6.400000000E1
5.775982249E1,6.200000000E1
5.793980049E1,6.800000000E1
5.811977749E1,5.800000000E1
5.829975749E1,3.600000000E1
5.847973549E1,4.800000000E1
5.865971249E1,6.300000000E1
5.883969049E1,5.300000000E1
5.901966749E1,4.600000000E1
5.919964549E1,4.000000000E1
5.937963149E1,4.600000000E1
5.955960949E1,6.400000000E1
5.973963402E1,5.800000000E1
5.991961203E1,5.600000000E1
6.009958902E1,5.900000000E1
6.027956703E1,5.400000000E1
6.063952503E1,5.500000000E1
6.099948003E1,5.300000000E1
6.117945703E1,5.700000000E1
6.135943602E1,5.800000000E1
6.153942202E1,5.600000000E1
6.171940003E1,5.900000000E1
6.189937803E1,6.300000000E1
6.225933303E1,7.000000000E1
6.243931003E1,7.300000000E1
6.261929603E1,6.600000000E1
6.279929964E1,6.300000000E1
6.297927664E1,6.100000000E1
6.315925264E1,5.500000000E1
6.333923164E1,5.200000000E1
6.351920764E1,5.100000000E1
6.369918964E1,4.900000000E1
6.387916564E1,4.700000000E1
6.405914464E1,5.000000000E1
6.423912064E1,6.200000000E1
6.459907964E1,6.700000000E1
6.477906364E1,7.000000000E1
6.495903964E1,7.700000000E1
6.513901864E1,7.100000000E1
6.531899464E1,5.700000000E1
6.549897364E1,4.600000000E1
6.567895064E1,4.100000000E1
6.585893164E1,4.700000000E1
6.603890764E1,5.200000000E1
6.621888664E1,5.500000000E1
6.639886264E1,5.800000000E1
6.657884164E1,6.100000000E1
6.675882364E1,6.300000000E1
6.693888929E1,7.000000000E1
6.711886529E1,7.700000000E1
6.729884429E1,8.100000000E1
6.747882029E1,8.000000000E1
6.765879929E1,9.700000000E1
6.783877929E1,1.290000000E2
6.801876129E1,1.760000000E2
6.819873929E1,2.120000000E2
6.837871629E1,2.260000000E2
6.855869429E1,2.320000000E2
6.873867129E1,2.300000000E2
6.891865029E1,2.220000000E2
6.909862929E1,2.160000000E2
6.927860729E1,2.140000000E2
6.963856229E1,2.130000000E2
6.999852329E1,2.080000000E2
7.017848098E1,2.100000000E2
7.035845898E1,2.070000000E2
7.053843598E1,1.990000000E2
7.071841398E1,2.070000000E2
7.089839098E1,2.050000000E2
7.107837098E1,2.010000000E2
7.125834898E1,2.090000000E2
7.143832698E1,2.100000000E2
7.161830398E1,2.010000000E2
7.179828198E1,2.030000000E2
7.197825898E1,2.120000000E2
7.233822398E1,2.030000000E2
7.251820198E1,2.080000000E2
7.269817898E1,2.090000000E2
7.287815498E1,2.100000000E2
7.323811698E1,2.090000000E2
7.341809798E1,2.100000000E2
7.413800798E1,2.120000000E2
7.431806551E1,2.090000000E2
7.449804351E1,1.980000000E2
7.467801951E1,2.090000000E2
7.503797451E1,2.050000000E2
7.521795351E1,2.040000000E2
7.557791751E1,2.030000000E2
7.575789351E1,1.970000000E2
7.593787251E1,1.950000000E2
7.611784851E1,1.990000000E2
7.629782751E1,2.120000000E2
7.647780751E1,2.140000000E2
7.665778551E1,2.080000000E2
7.701774051E1,2.130000000E2
7.719771651E1,2.180000000E2
7.737773240E1,2.200000000E2
7.755771740E1,2.210000000E2
7.773769540E1,2.200000000E2
7.791767440E1,2.170000000E2
7.809765040E1,1.910000000E2
7.827762840E1,1.830000000E2
7.845760540E1,1.840000000E2
7.917752440E1,1.890000000E2
7.935750240E1,2.060000000E2
7.953747940E1,2.240000000E2
7.971746140E1,2.270000000E2
7.989743740E1,2.290000000E2
8.007741640E1,2.330000000E2
8.025739240E1,2.380000000E2
8.043737040E1,2.390000000E2
8.061734740E1,2.440000000E2
8.079733540E1,2.610000000E2
8.097731140E1,2.910000000E2
8.115728940E1,2.980000000E2
8.133726640E1,2.910000000E2
8.151733189E1,2.630000000E2
8.169730889E1,2.440000000E2
8.187729089E1,2.340000000E2
8.205726689E1,2.300000000E2
8.223724589E1,2.280000000E2
8.241722189E1,2.310000000E2
8.277717689E1,2.270000000E2
8.295716389E1,2.080000000E2
8.313714189E1,1.870000000E2
8.349709689E1,1.920000000E2
8.367707289E1,1.930000000E2
8.385705189E1,1.940000000E2
8.403703789E1,1.960000000E2
8.493693824E1,1.950000000E2
8.529689624E1,1.960000000E2
8.547687324E1,1.950000000E2
8.565685124E1,1.970000000E2
8.619679224E1,1.980000000E2
8.763661524E1,1.970000000E2
8.799656924E1,1.960000000E2
8.835653524E1,1.950000000E2
8.853651124E1,1.960000000E2
8.871656439E1,1.970000000E2
8.907651939E1,1.980000000E2
8.979643839E1,1.970000000E2
9.015639239E1,1.980000000E2
9.033636939E1,1.970000000E2
9.069632739E1,1.980000000E2
9.141623739E1,1.970000000E2
9.159622539E1,1.980000000E2
9.195611681E1,1.970000000E2
9.213609481E1,1.980000000E2
9.231607081E1,1.970000000E2
9.249604981E1,1.980000000E2
9.285600781E1,1.970000000E2
9.357591781E1,1.980000000E2
9.375590481E1,1.970000000E2
9.393588281E1,1.980000000E2
9.411585981E1,1.970000000E2
9.429583781E1,1.940000000E2
9.447581481E1,1.930000000E2
9.465579281E1,1.920000000E2
9.483577881E1,1.910000000E2
9.537571181E1,1.920000000E2
9.591564681E1,1.940000000E2
9.609565888E1,1.970000000E2
9.645561388E1,1.990000000E2
9.681556688E1,2.000000000E2
9.699555488E1,1.990000000E2
9.753548588E1,2.000000000E2
9.789544088E1,2.010000000E2
1.000552876E2,2.020000000E2
1.002352756E2,2.010000000E2
1.004152516E2,2.020000000E2
1.005952306E2,2.030000000E2
1.009551856E2,2.040000000E2
1.011351616E2,2.030000000E2
1.013151436E2,2.040000000E2
1.014951196E2,2.050000000E2
1.025749946E2,2.040000000E2
1.027549706E2,2.050000000E2
1.036549734E2,2.060000000E2
1.038349504E2,2.050000000E2
1.040149284E2,2.060000000E2
1.049148264E2,2.070000000E2
1.052747804E2,2.080000000E2
1.054547594E2,2.070000000E2
1.056347444E2,2.060000000E2
1.059946994E2,2.030000000E2
1.061746774E2,2.020000000E2
1.065344889E2,2.010000000E2
1.068944459E2,2.030000000E2
1.070744249E2,2.020000000E2
1.072544009E2,2.030000000E2
1.074343799E2,2.040000000E2
1.076143619E2,2.080000000E2
1.077943439E2,2.070000000E2
1.095941219E2,2.060000000E2
1.101340629E2,2.070000000E2
