"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.241157646E2,7.206767201E-1,9.383162498E0,1.383890867E0
2.242158327E2,-4.932205975E-1,1.062818623E1,-5.291347504E-1
2.243159060E2,1.084606528E0,8.585869789E0,-4.070267081E-2
2.244159727E2,-7.925049663E-1,1.081972790E1,4.118152559E-1
2.245160283E2,2.846792698E0,8.118986130E0,6.823683381E-1
2.246160978E2,3.280156374E0,1.225150394E1,2.973689318E0
2.247161586E2,1.743032098E0,7.022408009E0,1.173194647E-1
2.248162288E2,4.154066563E0,1.051565456E1,2.695953369E0
2.249163091E2,4.788549542E-1,7.982511997E0,1.019961119E0
2.250163702E2,1.862745762E0,8.978530884E0,-4.573064744E-1
2.251164315E2,2.190761566E0,1.041509533E1,3.119740009E0
2.252164980E2,1.486844659E0,1.182771778E1,1.381496549E0
2.253165653E2,7.757450342E-1,8.559532166E0,1.398256540E0
2.254166374E2,8.044763207E-1,8.418270111E0,1.838803053E0
2.255166995E2,1.637683988E0,1.038157558E1,4.788549617E-2
2.256167682E2,1.137280583E0,9.079090118E0,1.395862222E0
2.257168284E2,1.199531674E0,9.663292885E0,2.875524044E0
2.258169023E2,1.362342358E0,1.041988373E1,4.381522834E-1
2.259169685E2,2.985660791E0,7.958569527E0,-1.436564922E-1
2.260170384E2,1.975276709E0,1.082691097E1,9.361614585E-1
2.261171038E2,1.170800328E0,8.856422424E0,1.412622094E0
2.262171696E2,2.612153769E0,1.067128277E1,1.642472506E0
2.263172365E2,2.830032825E0,1.021397591E1,2.583422422E0
2.264173107E2,8.020820618E-1,9.280209541E0,1.197137386E-1
2.265173773E2,1.745426297E0,1.071916866E1,1.125309169E-1
2.266174522E2,-9.577099234E-2,8.741497040E0,9.385557175E-1
2.267175037E2,2.597788095E0,1.219883060E1,4.501236677E-1
2.268175816E2,2.025556564E0,7.917866707E0,1.031932473E0
2.269176449E2,8.786988258E-1,9.876383781E0,1.225868702E0
2.270177143E2,2.032739401E0,7.630553722E0,-1.352765322E0
2.271177748E2,1.841197371E0,1.322597408E1,1.163617611E0
2.272178512E2,2.056682110E0,9.390345573E0,4.549122155E-1
2.273179069E2,1.565855742E0,8.403904915E0,8.044763207E-1
2.274179774E2,1.903448462E0,1.202644253E1,1.395862222E0
2.275180514E2,1.515576005E0,7.786181450E0,1.939362586E-1
2.276181094E2,1.632895470E0,9.292180061E0,1.221080184E0
2.277181756E2,3.859570980E0,1.090592194E1,3.105374336E0
2.278182576E2,6.392713785E-1,8.825297356E0,1.515576005E0
2.279183237E2,2.159635782E0,9.024022102E0,6.464542150E-1
2.280183768E2,4.381522834E-1,1.092507553E1,1.410227895E0
2.281184549E2,1.096577883E0,9.534002304E0,-1.292908341E-1
2.282185159E2,6.296942830E-1,9.814132690E0,3.495641351E-1
2.283185807E2,1.489238977E0,8.200390816E0,6.727912426E-1
2.284186539E2,1.357553840E0,1.118844604E1,-5.243461728E-1
2.285187121E2,2.810878515E0,8.272219658E0,1.594586968E0
2.286187836E2,2.030344963E0,8.379961967E0,1.486844659E0
2.287188420E2,1.235445857E0,1.007032013E1,2.367937803E0
2.288189211E2,3.632114887E0,1.008229160E1,1.142069101E0
2.289189858E2,2.250618219E0,9.560338974E0,2.083019018E-1
2.290190488E2,1.467690468E0,8.008849144E0,1.874717116E0
2.291191198E2,3.268185139E0,9.919480324E0,1.053480864E0
2.292191875E2,2.078230619E0,1.023313046E1,6.943396926E-1
