"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.670393529E2,5.238737617E1,5.213669075E0,-1.126992156E1,3.744314432E0,1.054997940E2,6.000000000E0,0.000000000E0
1.680278502E2,5.238735917E1,5.213738425E0,-1.105429493E1,3.760870457E0,1.060973969E2,6.000000000E0,0.000000000E0
1.690510083E2,5.238734767E1,5.213807914E0,-1.083831779E1,3.768593788E0,1.069509888E2,6.000000000E0,0.000000000E0
1.700503050E2,5.238733647E1,5.213861353E0,-1.062248178E1,3.776682377E0,1.085191422E2,6.000000000E0,0.000000000E0
1.710449736E2,5.238732506E1,5.213929999E0,-1.040713752E1,3.783042669E0,1.096058578E2,6.000000000E0,0.000000000E0
1.720394543E2,5.238731507E1,5.213976338E0,-1.019278357E1,3.795602798E0,1.100486984E2,6.000000000E0,0.000000000E0
1.730511208E2,5.238730278E1,5.214038422E0,-9.979932422E0,3.809544563E0,1.099892426E2,6.000000000E0,0.000000000E0
1.740222305E2,5.238728900E1,5.214105621E0,-9.767884392E0,3.832542896E0,1.095822678E2,6.000000000E0,0.000000000E0
1.750389004E2,5.238727722E1,5.214168924E0,-9.557481235E0,3.831335306E0,1.055863419E2,6.000000000E0,0.000000000E0
1.760239312E2,5.238726793E1,5.214222397E0,-9.349192864E0,3.817322493E0,1.062001801E2,6.000000000E0,0.000000000E0
1.770389813E2,5.238725639E1,5.214274362E0,-9.142747917E0,3.815177917E0,1.079148102E2,6.000000000E0,0.000000000E0
1.780340056E2,5.238724281E1,5.214339536E0,-7.102349665E0,3.838564634E0,1.082851944E2,6.000000000E0,0.000000000E0
1.790399661E2,5.238722946E1,5.214410122E0,-6.937388859E0,3.863876343E0,1.089191208E2,6.000000000E0,0.000000000E0
1.800382864E2,5.238721675E1,5.214474624E0,-5.306636353E0,3.892756462E0,1.098428802E2,6.000000000E0,0.000000000E0
1.810253494E2,5.238720448E1,5.214543969E0,-5.174213836E0,3.908205748E0,1.063700256E2,6.000000000E0,0.000000000E0
1.820407717E2,5.238719306E1,5.214610904E0,-3.862831982E0,3.936755657E0,1.057508011E2,6.000000000E0,0.000000000E0
1.830305717E2,5.238718224E1,5.214673367E0,-3.756737138E0,3.957215548E0,1.095347214E2,6.000000000E0,0.000000000E0
1.840421892E2,5.238716910E1,5.214737541E0,-3.651922823E0,3.968953609E0,1.097215424E2,6.000000000E0,0.000000000E0
1.850680552E2,5.238715757E1,5.214793556E0,-3.548258659E0,3.976018667E0,1.090189285E2,6.000000000E0,0.000000000E0
1.860507646E2,5.238714950E1,5.214840819E0,-3.445798487E0,3.987710476E0,1.087168579E2,6.000000000E0,0.000000000E0
1.870848485E2,5.238713720E1,5.214897036E0,-3.344125325E0,3.997846842E0,1.084657593E2,6.000000000E0,0.000000000E0
1.880411885E2,5.238712555E1,5.214949426E0,-3.243198146E0,3.979707241E0,1.028276138E2,6.000000000E0,0.000000000E0
1.890425562E2,5.238711950E1,5.214994854E0,-3.142993395E0,3.952548265E0,1.049059982E2,6.000000000E0,0.000000000E0
1.900514842E2,5.238711120E1,5.215047424E0,-2.148407584E0,3.964982271E0,1.106527710E2,6.000000000E0,0.000000000E0
1.910422475E2,5.238710088E1,5.215096386E0,-1.342106857E0,3.996647358E0,1.091141281E2,6.000000000E0,0.000000000E0
