"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.024381789E2,5.238618447E1,5.208242542E0,6.333833907E0,2.299015284E0,2.553263245E2,4.000000000E0,0.000000000E0
1.034429017E2,5.238617987E1,5.208200967E0,6.336305224E0,2.325422525E0,2.571435852E2,4.000000000E0,0.000000000E0
1.044585494E2,5.238617623E1,5.208162110E0,6.338555144E0,2.350496769E0,2.560451355E2,4.000000000E0,0.000000000E0
1.054682332E2,5.238617114E1,5.208120579E0,6.340598315E0,2.378293991E0,2.565330505E2,4.000000000E0,0.000000000E0
1.064583971E2,5.238616608E1,5.208075543E0,6.342839239E0,2.402361393E0,2.558282013E2,4.000000000E0,0.000000000E0
1.074428476E2,5.238616047E1,5.208029511E0,6.345542526E0,2.421372414E0,2.561256714E2,4.000000000E0,0.000000000E0
1.084595687E2,5.238615482E1,5.207983999E0,6.348630471E0,2.442815542E0,2.538473206E2,4.000000000E0,0.000000000E0
1.094471215E2,5.238614515E1,5.207934109E0,6.352440039E0,2.489551067E0,2.500658417E2,4.000000000E0,0.000000000E0
1.104621898E2,5.238613315E1,5.207881027E0,6.356850199E0,2.527222872E0,2.519207611E2,4.000000000E0,0.000000000E0
1.114431710E2,5.238612326E1,5.207832399E0,6.361849755E0,2.554884672E0,2.525532074E2,4.000000000E0,0.000000000E0
1.124598806E2,5.238611398E1,5.207785249E0,6.367535107E0,2.578092813E0,2.536185913E2,4.000000000E0,0.000000000E0
1.134431909E2,5.238610593E1,5.207740284E0,6.373731859E0,2.594627380E0,2.545949402E2,4.000000000E0,0.000000000E0
1.144412567E2,5.238610002E1,5.207700589E0,6.379938436E0,2.614623785E0,2.547852936E2,4.000000000E0,0.000000000E0
1.154421407E2,5.238609419E1,5.207660812E0,6.385917486E0,2.628754616E0,2.548656616E2,4.000000000E0,0.000000000E0
1.164650662E2,5.238608889E1,5.207626307E0,6.391399694E0,2.637434721E0,2.533748016E2,4.000000000E0,0.000000000E0
1.174476058E2,5.238608289E1,5.207589193E0,6.397115754E0,2.627887487E0,2.506958618E2,4.000000000E0,0.000000000E0
1.184410945E2,5.238607738E1,5.207557740E0,6.402095925E0,2.616081238E0,2.500684357E2,4.000000000E0,0.000000000E0
