"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.183287955E2,5.238436297E1,5.208664142E0,1.182051003E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.193312706E2,5.238436297E1,5.208664142E0,1.186930686E0,0.000000000E0,0.000000000E0,1.200000000E1,0.000000000E0
2.203349012E2,5.238436297E1,5.208664142E0,1.191953742E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.213318180E2,5.238436297E1,5.208664142E0,1.196994516E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.223299662E2,5.238436297E1,5.208664142E0,1.202066076E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.233285852E2,5.238436297E1,5.208664142E0,1.207227679E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.243304696E2,5.238436297E1,5.208664142E0,1.212453712E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.253408060E2,5.238436297E1,5.208664142E0,1.217813071E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.263318188E2,5.238436297E1,5.208664142E0,1.223252441E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.273289017E2,5.238436297E1,5.208664142E0,1.278331834E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.283391183E2,5.238436297E1,5.208664142E0,1.332708157E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.293193955E2,5.238436297E1,5.208664142E0,1.386028097E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.303381353E2,5.238436297E1,5.208664142E0,1.438415916E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.313206334E2,5.238436297E1,5.208664142E0,1.443609201E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.323321561E2,5.238436297E1,5.208664142E0,1.495977207E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.333267096E2,5.238436297E1,5.208664142E0,1.501218058E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.343254705E2,5.238436297E1,5.208664142E0,1.506526607E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.353280734E2,5.238436297E1,5.208664142E0,1.511848345E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.363353163E2,5.238436297E1,5.208664142E0,1.562624111E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.373252623E2,5.238436297E1,5.208664142E0,1.567709581E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.383215353E2,5.238436297E1,5.208664142E0,1.619295023E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.393242310E2,5.238436297E1,5.208664142E0,1.670422851E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.403207197E2,5.238436297E1,5.208664142E0,1.720385059E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
2.413164612E2,5.238436297E1,5.208664142E0,1.769217356E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.423218427E2,5.238436297E1,5.208664142E0,1.817561516E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.433220237E2,5.238436297E1,5.208664142E0,1.864968118E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.443129639E2,5.238436297E1,5.208664142E0,1.869722214E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.453105853E2,5.238436297E1,5.208664142E0,1.917695947E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.463195538E2,5.238436297E1,5.208664142E0,1.966979041E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.473089604E2,5.238436297E1,5.208664142E0,2.015634929E0,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
2.483179784E2,5.238436297E1,5.208664142E0,2.020444719E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.493095632E2,5.238436297E1,5.208664142E0,2.069239140E0,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
2.503120834E2,5.238443317E1,5.208690382E0,2.117296402E0,1.229232311E0,0.000000000E0,1.200000000E1,0.000000000E0
2.513042108E2,5.238444837E1,5.208700339E0,2.164330425E0,1.372290850E0,0.000000000E0,2.400000000E1,0.000000000E0
2.523115582E2,5.238445832E1,5.208709838E0,2.210295981E0,1.279961109E0,0.000000000E0,8.000000000E0,0.000000000E0
2.533218960E2,5.238445832E1,5.208709838E0,2.214890445E0,0.000000000E0,1.043186951E1,8.000000000E0,0.000000000E0
2.543157382E2,5.238445832E1,5.208709838E0,2.260776675E0,0.000000000E0,1.043186951E1,8.000000000E0,0.000000000E0
2.553034222E2,5.238446323E1,5.208711253E0,2.305597319E0,4.836401641E-1,2.346319962E1,8.000000000E0,0.000000000E0
2.563006827E2,5.238447287E1,5.208720881E0,2.349599719E0,6.862152815E-1,2.464108467E1,1.200000000E1,0.000000000E0
2.572932829E2,5.238447287E1,5.208720881E0,2.392875431E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.583028904E2,5.238447287E1,5.208720881E0,2.397192122E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.593024737E2,5.238447287E1,5.208720881E0,2.440197417E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.603023351E2,5.238447287E1,5.208720881E0,2.444497776E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.613016075E2,5.238447287E1,5.208720881E0,2.448644669E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.623047927E2,5.238447287E1,5.208720881E0,2.452852398E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.632997923E2,5.238447287E1,5.208720881E0,2.494493784E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.643151497E2,5.238447287E1,5.208720881E0,2.498550546E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.653080141E2,5.238447287E1,5.208720881E0,2.502726969E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.663046750E2,5.238447287E1,5.208720881E0,2.506991493E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.673146037E2,5.238447287E1,5.208720881E0,2.511253715E0,0.000000000E0,2.464108467E1,1.200000000E1,0.000000000E0
2.683151082E2,5.238447287E1,5.208720881E0,2.553901456E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.692963708E2,5.238447287E1,5.208720881E0,2.595636622E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.703041325E2,5.238447287E1,5.208720881E0,2.599729580E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.713027965E2,5.238447287E1,5.208720881E0,2.603804367E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.722974593E2,5.238447287E1,5.208720881E0,2.643909949E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.733060458E2,5.238447287E1,5.208720881E0,2.647908415E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.743180905E2,5.238447287E1,5.208720881E0,2.687428896E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.752972488E2,5.238447287E1,5.208720881E0,2.725084172E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.762979688E2,5.238447287E1,5.208720881E0,2.728893213E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.773061343E2,5.238447287E1,5.208720881E0,2.732700885E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.783113666E2,5.238447287E1,5.208720881E0,2.770253696E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.793082307E2,5.238447287E1,5.208720881E0,2.774013861E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.803058110E2,5.238447287E1,5.208720881E0,2.810881547E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.813036271E2,5.238447287E1,5.208720881E0,2.814507012E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.823034967E2,5.238447287E1,5.208720881E0,2.818123983E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.832988659E2,5.238447287E1,5.208720881E0,2.821870503E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
2.843085754E2,5.238447287E1,5.208720881E0,2.825628766E0,0.000000000E0,2.464108467E1,8.000000000E0,0.000000000E0
