"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.351737070E1,1.228263021E0,9.773429871E0,-5.027977228E-1
2.361743791E1,1.189954638E0,9.773429871E0,-5.195576549E-1
2.371750569E1,1.209108829E0,9.792584419E0,-5.865973234E-1
2.381757224E1,1.204320192E0,9.794978142E0,-4.525179267E-1
2.391763959E1,1.192348838E0,9.749486923E0,-4.980091453E-1
2.401770753E1,1.199531674E0,9.780612946E0,-4.022381604E-1
2.411777421E1,1.223474383E0,9.783006668E0,-4.812492430E-1
2.421783643E1,1.158828974E0,9.830892563E0,-4.549122155E-1
2.431791461E1,1.185166001E0,9.761458397E0,-4.213923812E-1
2.441797545E1,1.185166001E0,9.759063721E0,-3.998439014E-1
2.451804403E1,1.182771802E0,9.799766541E0,-4.812492430E-1
2.461811051E1,1.182771802E0,9.766246796E0,-5.099805593E-1
2.471817636E1,1.163617611E0,9.780612946E0,-4.285751879E-1
2.481824727E1,1.149251938E0,9.806949615E0,-4.022381604E-1
2.491831209E1,1.223474383E0,9.773429871E0,-4.381522834E-1
2.501837780E1,1.204320192E0,9.783006668E0,-3.950553536E-1
2.511844438E1,1.132491946E0,9.826104164E0,-3.830839694E-1
2.521851199E1,1.098972082E0,9.816526413E0,-3.735068738E-1
2.531857994E1,1.211503029E0,9.778218269E0,-4.189980924E-1
2.541864912E1,1.192348838E0,9.759063721E0,-3.543526828E-1
2.551871310E1,1.087000728E0,9.814132690E0,-4.788549542E-1
2.561878092E1,1.187560320E0,9.797372818E0,-3.878725171E-1
2.571884776E1,1.185166001E0,9.768641472E0,-3.830839694E-1
2.581891491E1,1.166011810E0,9.763853073E0,-3.304099143E-1
2.591898229E1,1.158828974E0,9.792584419E0,-3.519583941E-1
2.601904934E1,1.122914910E0,9.806949615E0,-3.950553536E-1
2.611911672E1,1.166011810E0,9.802161217E0,-3.950553536E-1
2.621917753E1,1.120520592E0,9.814132690E0,-4.213923812E-1
2.631925104E1,1.132491946E0,9.771035194E0,-4.094209969E-1
2.641931819E1,1.170800328E0,9.814132690E0,-4.573064744E-1
2.651943278E1,1.170800328E0,9.804554939E0,-3.926610649E-1
2.661949939E1,1.118126392E0,9.797372818E0,-4.716721475E-1
2.671956650E1,1.168406129E0,9.811738014E0,-3.663240373E-1
2.681963368E1,1.146857619E0,9.826104164E0,-4.453351200E-1
2.691970157E1,1.113337755E0,9.804554939E0,-4.237866402E-1
2.701976781E1,1.103760719E0,9.821314812E0,-4.285751879E-1
2.711983539E1,1.170800328E0,9.811738014E0,-3.423812985E-1
2.721989718E1,1.063058019E0,9.850046158E0,-4.573064744E-1
2.731996969E1,1.137280583E0,9.799766541E0,-4.956148863E-1
2.742003714E1,1.079817891E0,9.799766541E0,-3.735068738E-1
2.752010352E1,1.134886265E0,9.816526413E0,-4.094209969E-1
2.762017013E1,1.142069101E0,9.799766541E0,-3.232271075E-1
2.772023845E1,1.034326673E0,9.842864037E0,-3.782954216E-1
2.782030493E1,1.156434774E0,9.821314812E0,-2.968900800E-1
2.792037201E1,1.058269501E0,9.802161217E0,-3.950553536E-1
2.802043962E1,1.041509509E0,9.809344292E0,-3.280156553E-1
2.812050623E1,1.094183564E0,9.804554939E0,-3.016786277E-1
2.822057288E1,1.098972082E0,9.821314812E0,-3.687183261E-1
2.832064012E1,1.072635174E0,9.823709488E0,-3.735068738E-1
