"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.759804396E1,3.560286522E0,7.707170486E0,1.999219418E0
4.769810657E1,3.917033672E0,5.947378635E0,5.152479172E0
4.779818269E1,6.957762718E0,5.102199554E0,5.130930901E0
4.789824037E1,7.769421577E0,2.832427025E0,1.091789341E1
4.799832375E1,8.212362289E0,2.418217659E0,9.335277557E0
4.810029104E1,6.833260536E0,4.120546818E0,6.165257454E0
4.820036408E1,4.314483166E0,6.660872459E0,4.043930054E0
4.830042553E1,3.974496126E0,8.257853508E0,2.535537004E0
4.840049228E1,2.782147408E0,9.081484795E0,3.138894320E0
4.850055659E1,-1.834014535E0,1.532575321E1,-1.424593568E0
4.860064444E1,2.394274712E0,9.514847755E0,1.412622184E-1
4.870069272E1,1.036720991E0,9.050358772E0,3.624932051E0
4.880076153E1,3.742251635E0,6.979310989E0,3.512401104E0
4.890082828E1,6.067092419E0,5.633728504E0,6.246663094E0
4.900089615E1,6.256239891E0,2.607365370E0,1.260585690E1
4.910096237E1,1.343667030E1,2.099778891E0,9.890748978E0
4.920103581E1,5.736682415E0,4.685595989E0,7.625765324E0
4.930109646E1,3.071854591E0,6.234691620E0,5.763019562E0
4.940116384E1,2.899466753E0,7.496474266E0,3.854782343E0
4.950122799E1,9.912297726E-1,9.325700760E0,2.363149166E0
4.960129737E1,-2.913832426E0,1.346540165E1,-1.197137356E0
4.970137192E1,-2.236252785E0,1.193306541E1,-7.398309112E-1
4.980144437E1,1.204320192E0,8.949799538E0,2.667222023E0
4.990149885E1,4.860377789E0,7.762238979E0,4.280963421E0
5.000156803E1,5.169239521E0,5.624151707E0,6.361588001E0
5.010163291E1,2.830032825E0,5.887521744E0,8.638543129E0
5.020170042E1,4.628133297E0,4.290540695E0,1.329540825E1
5.030176710E1,6.215537548E0,3.268185139E0,9.071907043E0
5.040183735E1,1.769369125E0,5.075862408E0,8.803748131E0
5.050190419E1,1.857957244E0,6.806923389E0,5.892310143E0
5.060196614E1,4.597007632E-1,8.092648506E0,4.458139896E0
5.070204129E1,-4.462928295E0,1.056593513E1,2.059076279E-1
5.080210421E1,-2.973689318E0,1.090352726E1,1.295302629E0
5.090217022E1,-2.906649590E0,9.431048393E0,3.751828671E0
5.100223866E1,4.477293789E-1,7.266623974E0,5.712739468E0
5.110230604E1,2.492439985E0,6.663266659E0,5.504437923E0
5.120237792E1,3.107768774E0,5.468523502E0,8.415876389E0
5.130243777E1,5.502043724E0,2.662433624E0,1.391552544E1
5.140250655E1,7.199584484E0,4.276175022E0,8.863605499E0
5.150257970E1,2.418217659E0,4.807703972E0,8.851634026E0
5.160264334E1,1.496421814E0,6.696786404E0,5.521197796E0
5.170271292E1,-6.153286099E-1,8.755863190E0,3.572257996E0
5.180277917E1,-3.450150013E0,1.136562252E1,1.795706153E-1
5.190284505E1,-5.854001999E0,1.269923401E1,-1.283331275E0
5.200291166E1,-1.144463301E0,8.279402733E0,4.640104771E0
5.210299374E1,1.726272106E0,6.735095024E0,5.928224564E0
5.220304662E1,2.291321039E0,5.825270653E0,7.216344357E0
5.230311597E1,9.265843630E-1,5.909070015E0,7.920260906E0
5.240317615E1,2.372726440E0,5.921041489E0,7.182824612E0
5.250324437E1,3.732674360E0,6.905088425E0,1.167448425E1
5.260330721E1,6.167652130E0,4.711932659E0,8.935433388E0
5.270339080E1,7.589851022E-1,5.353598595E0,7.606611252E0
